,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | D. Schröder,LAL,115:19,-4.4,-6.8,-.016,-3.8,+1.5,-.130,-.034,+7.6,+9.7,-.021,-5.1,-1.6,-3.3,-1.0,-3.3,-1.6,-3.6,-7.7,+4.7,+1.9,-0.8,-0.2
2,A. Davis | L. James,LAL,106:26,+1.9,-2.7,+.036,-3.1,+1.9,-.111,+.020,+4.6,+5.5,+.001,+5.2,-0.7,+1.1,+3.9,+1.1,+1.5,+3.3,-1.3,+3.1,+4.0,-0.7,-0.2
3,K. Caldwell-Pope | A. Davis,LAL,91:07,+2.6,-2.4,+.042,-1.1,+1.4,-.046,+.037,-0.5,+3.6,-.133,+3.5,-2.3,-2.5,+2.7,-2.5,+0.3,+0.6,-0.4,+5.8,+2.3,-2.8,+2.0
4,A. Davis | A. Drummond,LAL,63:20,+2.1,-3.1,+.040,-2.5,-5.0,-.032,+.028,+3.0,+8.6,-.182,+4.7,+0.7,+4.9,+5.8,+4.9,+3.2,+7.3,-4.2,+4.9,+2.4,+0.7,-1.2
5,A. Caruso | A. Davis,LAL,53:36,-2.9,+5.5,-.059,-3.6,+1.1,-.105,-.084,-1.2,-3.1,+.049,-10.5,+0.3,-3.3,-6.9,-3.3,-3.0,-6.7,-1.3,-1.2,-1.1,+1.4,+2.5
