,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | J. Holiday,NOP,2216:00,+3.3,-3.2,+.053,-1.6,-5.5,+.013,+.046,+1.7,+2.0,+.005,+6.6,-2.2,-2.8,+2.1,-2.8,-0.1,-0.1,+3.7,+0.4,+2.3,-0.4,-1.9
2,A. Davis | E. Moore,NOP,2004:47,+2.5,-3.3,+.045,-1.6,-4.7,+.003,+.038,+2.2,+2.6,+.007,+5.6,-2.9,-4.5,+1.4,-4.5,-0.8,-1.7,+3.9,+1.2,+2.4,-1.2,-1.9
3,A. Davis | R. Rondo,NOP,1302:55,+2.3,-3.0,+.041,-1.3,-4.2,+.009,+.035,+0.3,+1.3,-.040,+3.5,-3.3,-5.0,+1.3,-5.0,-1.0,-2.3,+4.6,+0.8,+2.5,-0.4,-1.7
4,D. Cousins | A. Davis,NOP,1089:44,+1.6,-3.6,+.038,-2.8,-5.8,-.023,+.025,+4.0,+4.3,+.027,+4.4,-1.1,-0.5,+3.2,-0.5,+0.9,+2.1,+2.8,-0.7,+1.2,+0.5,-3.1
5,A. Davis | D. Miller,NOP,1007:02,+1.7,-4.1,+.042,+0.6,-3.6,+.061,+.047,-0.5,-0.1,-.018,+3.6,-2.8,-4.5,+0.9,-4.5,-0.9,-1.9,+4.1,-0.7,+2.2,+0.5,-0.6
6,I. Clark | A. Davis,NOP,767:11,+0.9,-7.2,+.048,-0.1,-4.5,+.052,+.052,+4.8,+4.1,+.074,+6.5,-3.7,-4.6,+3.4,-4.6,-0.2,-0.5,+3.4,-1.3,+3.0,+1.2,-1.7
7,D. Cunningham | A. Davis,NOP,646:04,+1.6,-4.5,+.041,+0.2,-2.9,+.041,+.045,+1.0,+2.7,-.062,+4.4,-2.6,-4.7,-0.3,-4.7,-1.2,-2.7,+4.9,+0.2,+2.3,-0.2,-1.1
8,A. Davis | N. Mirotić,NOP,572:46,+5.0,+0.2,+.054,+0.1,-1.1,+.017,+.054,+1.5,+2.8,-.033,+11.5,-1.8,-2.4,+1.4,-2.4,-0.2,-0.4,+6.6,+2.4,+4.6,-2.8,-1.7
9,A. Davis | J. Nelson,NOP,447:13,+1.0,-6.5,+.046,+0.4,-3.4,+.050,+.053,+1.2,+1.6,-.001,+3.6,-4.6,-7.7,+1.1,-7.7,-1.6,-3.7,+4.5,-1.8,+1.6,+1.1,-0.6
10,A. Davis | E. Okafor,NOP,218:08,+4.4,0.0,+.046,-3.1,-5.4,-.052,+.030,-2.9,-4.6,+.068,+2.8,-1.8,-2.5,+0.6,-2.5,-0.5,-1.1,+3.0,+1.6,+3.1,-1.4,+0.1
