,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | T. Evans | E. Gordon,NOP,102:24,-7.7,-2.7,-.071,-8.9,-9.3,-.177,-.117,+5.0,+5.7,+.028,-19.3,-1.6,-6.3,-6.2,-6.3,-4.4,-9.6,-9.0,+4.5,-0.2,-1.1,-0.8
2,A. Davis | E. Gordon | Q. Pondexter,NOP,97:14,-4.5,+6.7,-.086,-7.8,-10.3,-.150,-.136,-0.4,-4.0,+.097,-17.2,+1.6,-2.3,-8.5,-2.3,-3.4,-7.1,-5.6,+2.6,-2.6,-2.0,+0.8
3,A. Davis | T. Evans | Q. Pondexter,NOP,77:29,-4.8,-1.4,-.046,-10.5,-13.6,-.189,-.102,-3.1,-3.1,-.041,-23.2,-3.8,-9.3,-6.5,-9.3,-5.0,-10.2,-7.7,+3.2,-2.8,+0.2,0.0
4,Ö. Aşık | A. Davis | E. Gordon,NOP,77:28,-7.2,+6.1,-.114,-8.1,-9.4,-.155,-.164,+3.5,+2.2,+.110,-19.1,+4.9,+2.8,-9.8,+2.8,-2.4,-5.2,-10.1,+5.4,-1.4,-2.6,+1.0
5,Ö. Aşık | A. Davis | T. Evans,NOP,66:41,-9.2,+3.3,-.117,-8.9,-9.9,-.165,-.168,+4.7,+4.7,+.069,-22.6,+4.7,+3.3,-7.8,+3.3,-1.6,-3.4,-13.1,+5.7,-2.4,-0.9,-0.4
