,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | E. Gordon,NOP,135:51,-5.9,+0.6,-.070,-7.5,-9.0,-.154,-.112,+4.5,+1.7,+.131,-14.6,-1.0,-5.6,-6.8,-5.6,-4.2,-8.9,-6.7,+2.8,-0.6,-1.8,0.0
2,A. Davis | T. Evans,NOP,116:55,-5.5,-4.4,-.038,-7.3,-9.4,-.129,-.075,+0.2,-1.2,+.049,-18.1,-4.2,-8.5,-3.6,-8.5,-4.0,-8.5,-6.6,+2.8,-0.4,+1.2,+1.6
3,A. Davis | Q. Pondexter,NOP,111:27,-1.6,+1.6,-.026,-7.1,-12.6,-.096,-.067,-2.4,-6.8,+.094,-12.6,-2.0,-5.6,-4.7,-5.6,-3.2,-6.5,-3.2,+0.7,-2.8,+0.3,+1.4
4,N. Cole | A. Davis,NOP,80:21,+5.8,-7.3,+.098,+0.1,-10.5,+.133,+.102,+6.2,-3.3,+.292,+18.0,-5.5,-4.6,+6.3,-4.6,+0.6,+1.3,+3.7,-0.1,+1.2,+2.8,+3.5
5,Ö. Aşık | A. Davis,NOP,77:49,-7.9,+5.3,-.116,-8.1,-9.3,-.154,-.166,+3.5,+2.2,+.110,-20.3,+4.1,+1.5,-9.7,+1.5,-2.7,-5.9,-10.7,+5.4,-1.4,-2.6,+1.0
