,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | L. James | A. Reaves,LAL,700:01,-1.8,-6.8,+.016,-2.4,-5.0,-.016,+.009,+6.1,+8.0,-.011,+0.1,-1.5,-1.6,+2.4,-1.6,+0.3,+0.8,+0.5,-1.3,+0.9,+0.8,-2.9
2,A. Davis | R. Hachimura | A. Reaves,LAL,666:33,-1.6,-6.9,+.019,-1.2,-7.9,+.046,+.017,+5.3,+6.6,-.002,+0.9,-2.1,-3.1,+1.0,-3.1,-0.4,-1.0,+0.8,-1.3,+0.6,+1.2,-2.2
3,M. Christie | A. Davis | A. Reaves,LAL,568:09,-0.1,-4.8,+.025,-1.6,-6.4,+.019,+.020,+6.3,+7.0,+.031,+4.5,-1.1,-1.0,+1.7,-1.0,+0.4,+1.0,-0.4,-1.2,+1.3,+0.2,-2.7
4,A. Davis | R. Hachimura | L. James,LAL,551:29,-1.4,-5.2,+.012,-3.2,-7.3,-.015,-.002,+4.0,+6.4,-.061,-2.1,-0.7,-0.5,+1.4,-0.5,+0.4,+0.9,+0.6,-1.3,+0.8,+0.5,-2.3
5,M. Christie | A. Davis | R. Hachimura,LAL,483:25,-1.6,-5.8,+.012,-1.7,-7.5,+.026,+.006,+5.3,+6.8,-.001,+0.3,-1.1,-1.7,+0.6,-1.7,-0.1,-0.1,-0.8,-1.3,+0.5,+1.5,-1.7
6,M. Christie | A. Davis | L. James,LAL,417:13,+0.8,-4.7,+.035,-3.7,-5.2,-.052,+.018,+8.7,+10.9,+.010,+6.6,-0.5,+1.0,+3.9,+1.0,+1.8,+4.2,+0.6,+0.1,+1.0,-1.0,-3.7
7,A. Davis | R. Hachimura | D. Russell,LAL,309:13,-3.4,-8.0,+.002,-3.3,-9.6,-.001,-.010,+9.2,+12.9,-.053,-0.9,-1.4,-1.1,+2.5,-1.1,+0.6,+1.2,-3.0,-1.0,-0.2,+0.8,-4.0
8,A. Davis | D. Knecht | A. Reaves,LAL,304:34,-0.5,-7.5,+.035,-3.8,-8.4,-.022,+.020,+7.9,+8.8,+.044,+3.1,-4.4,-6.8,+2.0,-6.8,-1.3,-3.2,+0.2,-1.6,+1.2,-1.5,-3.4
9,A. Davis | A. Reaves | D. Russell,LAL,303:43,+0.1,-6.6,+.036,-0.6,-5.0,+.034,+.037,+6.6,+9.9,-.058,+6.2,-1.5,-0.7,+3.4,-0.7,+0.7,+1.6,+3.9,-0.2,+0.9,+0.4,-3.3
10,A. Davis | L. James | D. Knecht,LAL,277:20,-2.5,-7.1,+.011,-7.8,-8.8,-.115,-.026,+1.2,+1.4,+.004,-11.7,-3.5,-4.7,+2.8,-4.7,-0.5,-1.3,-2.2,-3.7,+1.9,+1.5,-1.1
