,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | A. Reaves,LAL,1038:11,-1.0,-6.1,+.022,-1.5,-6.3,+.022,+.018,+6.1,+7.2,+.015,+2.6,-2.1,-2.9,+1.3,-2.9,-0.3,-0.8,+0.3,-1.1,+1.1,+0.3,-2.5
2,A. Davis | R. Hachimura,LAL,906:11,-1.6,-6.6,+.017,-2.1,-8.3,+.025,+.010,+5.4,+7.3,-.022,+0.1,-1.9,-2.8,+0.9,-2.8,-0.4,-0.9,-0.6,-1.1,+0.9,+0.8,-2.1
3,A. Davis | L. James,LAL,905:03,-1.1,-5.7,+.019,-3.7,-6.6,-.035,+.003,+5.0,+6.8,-.018,-0.9,-1.5,-1.7,+1.8,-1.7,+0.2,+0.4,0.0,-1.1,+1.6,+0.5,-2.4
4,M. Christie | A. Davis,LAL,801:25,-0.3,-4.7,+.021,-2.7,-6.9,-.008,+.010,+7.2,+8.7,+.017,+4.0,-0.7,-0.2,+1.9,-0.2,+0.7,+1.7,-0.9,-0.5,+1.5,-0.3,-2.4
5,A. Davis | D. Knecht,LAL,540:52,-0.2,-7.0,+.035,-5.4,-10.8,-.043,+.011,+4.7,+5.8,+.009,-1.1,-3.7,-4.7,+2.6,-4.7,-0.6,-1.4,-1.5,-1.3,+1.2,-0.6,-1.6
6,A. Davis | D. Russell,LAL,506:59,-0.5,-7.0,+.031,-2.0,-7.7,+.020,+.025,+6.9,+11.0,-.093,+3.9,-1.7,-1.2,+3.1,-1.2,+0.6,+1.4,+0.1,+0.1,+1.2,+0.6,-3.6
7,A. Davis | G. Vincent,LAL,427:24,-0.1,-2.1,+.010,-1.6,-7.3,+.027,+.003,+3.7,+5.3,-.024,+1.9,-0.7,-1.6,-0.7,-1.6,-0.6,-1.3,-1.8,-0.4,+1.6,-0.7,-1.1
8,A. Davis | C. Reddish,LAL,314:36,-3.1,-9.4,+.017,-1.2,-7.7,+.052,+.018,+5.8,+7.5,-.003,-1.6,-4.7,-10.0,-2.7,-10.0,-3.2,-7.7,-3.7,-0.5,+3.4,+0.9,-1.9
9,A. Davis | K. Thompson,DAL,174:16,-3.8,-7.8,.000,-4.8,-5.4,-.077,-.020,-0.6,+0.5,-.055,-12.9,-2.3,-4.1,-0.5,-4.1,-1.4,-3.0,+0.2,-1.9,+5.6,+3.1,-0.1
10,A. Davis | D. Finney-Smith,LAL,166:33,+2.9,-8.1,+.075,+0.4,-9.6,+.101,+.083,+6.9,+6.4,+.092,+13.1,-1.4,+1.8,+7.8,+1.8,+3.3,+7.1,+1.6,-1.5,+2.9,+3.0,+0.6
