,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | G. Vásquez,NOH,1513:28,-1.4,+0.2,-.016,-2.4,-6.7,+.001,-.030,+1.2,-0.3,+.061,-4.0,+1.8,+4.0,+1.8,+4.0,+1.7,+3.8,-3.4,-0.9,+1.0,+1.7,+0.5
2,A. Aminu | A. Davis,NOH,1062:53,+0.4,+1.9,-.005,-3.5,-8.7,-.012,-.025,+2.9,+2.3,+.048,+0.3,+3.3,+6.9,+2.6,+6.9,+3.0,+6.7,-1.3,-0.3,+0.9,+0.6,+0.2
3,A. Davis | R. Lopez,NOH,1042:33,-0.2,+1.5,-.010,-3.6,-10.3,+.009,-.030,+1.1,-0.2,+.068,-2.8,+3.1,+7.3,+3.6,+7.3,+3.4,+7.6,-4.1,-1.0,+0.3,+2.6,+0.2
4,A. Davis | E. Gordon,NOH,869:30,-1.5,-0.4,-.014,-2.7,-5.9,-.025,-.029,+4.3,+4.1,+.050,-1.3,+1.5,+3.9,+2.2,+3.9,+1.8,+4.1,-4.4,-0.8,+1.2,+0.9,-0.8
5,R. Anderson | A. Davis,NOH,699:00,-5.1,+0.7,-.060,-0.8,+1.9,-.056,-.065,-0.3,-1.1,+.022,-11.2,+1.8,+1.8,-1.7,+1.8,-0.2,-0.3,-4.2,-1.0,+0.8,+1.2,+0.9
6,A. Davis | A. Rivers,NOH,522:50,-3.0,-2.8,-.019,-2.0,-8.2,+.037,-.029,-1.7,-3.0,+.025,-9.7,-0.3,0.0,+0.9,0.0,+0.2,+0.5,-5.4,-2.7,-0.2,+3.9,+1.7
7,A. Davis | B. Roberts,NOH,413:46,-4.1,+4.4,-.069,-1.0,-0.8,-.029,-.077,-2.6,-4.3,+.030,-11.8,+4.3,+6.2,-0.9,+6.2,+1.7,+3.6,-3.8,-0.1,-2.4,+2.7,+1.7
8,A. Davis | R. Mason,NOH,398:28,-1.1,+6.4,-.046,-1.1,+1.3,-.069,-.056,-3.6,-6.4,+.052,-7.0,+5.2,+8.4,+0.5,+8.4,+2.5,+5.6,-4.3,-0.9,+0.4,+0.9,+2.1
9,A. Davis | L. Thomas,NOH,236:46,+0.7,+2.8,-.006,-1.8,-5.9,+.001,-.017,-0.1,-4.2,+.128,-0.4,+1.7,+4.1,+2.5,+4.1,+2.4,+5.1,-6.3,-0.4,-1.1,+1.5,+2.0
10,A. Davis | D. Miller,NOH,221:53,-4.9,+0.4,-.059,-5.3,-5.0,-.154,-.089,+1.1,+0.8,+.017,-14.0,+3.8,+7.4,+1.9,+7.4,+2.5,+5.5,-7.0,+0.1,-0.8,+3.9,-0.1
