,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | J. Holiday,NOP,1123:48,+0.3,+2.9,-.012,-0.7,-1.1,-.014,-.018,-0.2,-0.1,-.007,-0.4,+0.4,-0.7,-2.9,-0.7,-1.4,-3.2,+0.7,+1.6,+0.3,-1.9,-0.3
2,A. Davis | E. Gordon,NOP,1045:34,-0.9,-2.2,+.001,-0.1,-0.7,+.007,+.002,-0.3,-1.2,+.025,-2.2,-1.6,-3.6,-1.6,-3.6,-1.6,-3.7,0.0,-0.1,+0.9,+0.9,+0.3
3,R. Anderson | A. Davis,NOP,1041:25,-0.8,+1.7,-.018,-0.5,+0.7,-.030,-.023,0.0,+0.3,-.007,-2.0,+0.3,-0.9,-2.9,-0.9,-1.6,-3.5,+1.2,+1.1,+1.1,-1.3,-0.5
4,D. Cunningham | A. Davis,NOP,940:03,-1.2,+1.6,-.023,-2.1,-2.9,-.046,-.036,-1.8,-1.5,-.029,-6.4,-0.1,-1.9,-3.9,-1.9,-1.9,-4.3,-1.0,-0.3,-0.6,-0.8,+0.3
5,A. Davis | A. Gee,NOP,930:21,-2.2,-0.3,-.024,-1.8,-2.6,-.039,-.034,-0.6,-1.6,+.025,-6.9,+0.1,-1.1,-2.6,-1.1,-1.0,-2.2,+0.1,+1.2,-0.5,+0.7,+0.2
6,N. Cole | A. Davis,NOP,802:35,-1.8,+1.9,-.030,-1.1,-2.3,-.011,-.038,-2.2,-2.7,-.006,-6.8,+0.5,-0.7,-3.4,-0.7,-1.5,-3.4,-1.5,-0.5,+0.5,+0.1,+0.5
7,Ö. Aşık | A. Davis,NOP,674:57,-1.4,+1.5,-.023,-2.5,-3.5,-.054,-.037,-1.8,-0.6,-.072,-7.2,+1.3,+1.2,-2.3,+1.2,-0.5,-1.0,-1.4,+0.6,-1.1,+0.6,+0.1
8,A. Davis | T. Evans,NOP,565:49,+1.5,+1.1,+.012,+0.2,-2.1,+.039,+.012,-1.1,-1.6,+.007,+2.2,+1.6,+3.4,+1.4,+3.4,+1.6,+3.4,+2.2,+0.1,+1.1,+1.6,+0.7
9,A. Davis | T. Douglas,NOP,410:20,-3.2,+4.4,-.061,-3.6,+0.4,-.144,-.084,-5.6,-6.3,-.024,-15.5,+2.3,+1.8,-5.1,+1.8,-1.4,-3.1,-1.8,+0.7,-1.7,+0.2,+1.1
10,A. Davis | I. Smith,NOP,326:31,+1.7,-2.8,+.035,-0.7,+0.6,-.039,+.032,+1.3,+1.9,-.010,+3.9,-2.5,-4.1,+0.5,-4.1,-1.1,-2.5,+0.1,+0.1,+1.7,-0.7,-1.8
