,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | E. Gordon,NOP,1521:15,0.0,+2.8,-.015,-3.0,-8.4,+.013,-.034,-1.7,-3.5,+.038,-4.6,+0.1,-0.9,-1.7,-0.9,-0.8,-1.9,-1.0,+1.7,+1.3,-1.2,+1.0
2,A. Aminu | A. Davis,NOP,1254:46,+0.9,+3.2,-.007,-3.3,-11.1,+.038,-.027,-1.5,-2.4,+.014,-3.0,+1.3,+1.0,-1.8,+1.0,0.0,0.0,-0.6,+1.3,+1.3,-1.5,+1.4
3,A. Davis | B. Roberts,NOP,1158:26,+0.5,+1.7,-.004,-1.3,-5.6,+.036,-.013,-3.5,-6.4,+.052,-3.9,-1.2,-2.8,-1.3,-2.8,-1.3,-3.0,-1.7,+0.5,+1.7,-0.8,+1.8
4,A. Davis | T. Evans,NOP,1154:23,+0.9,+1.5,+.003,-3.7,-8.9,-.024,-.019,-1.5,-2.1,+.008,-3.3,-1.1,-2.3,-0.9,-2.3,-0.9,-2.1,-0.1,+2.0,+1.1,-2.4,+0.1
5,A. Davis | J. Holiday,NOP,749:23,+4.4,+6.7,+.014,-3.8,-9.9,-.012,-.010,-0.7,-2.0,+.037,+4.2,+1.9,+3.0,-0.2,+3.0,+0.9,+1.9,+2.7,+3.2,+1.9,-3.9,+0.1
6,A. Davis | A. Morrow,NOP,616:46,+1.8,+4.2,-.001,-1.1,-7.2,+.060,-.009,-0.9,-2.7,+.040,+1.6,+1.4,+2.5,+0.5,+2.5,+0.9,+1.9,-0.4,-0.2,+1.3,-1.1,+0.4
7,A. Davis | G. Stiemsma,NOP,569:13,+0.7,+5.1,-.019,-1.9,-6.0,+.014,-.032,-3.8,-7.1,+.055,-4.4,-0.7,-2.9,-3.1,-2.9,-1.8,-4.0,-2.4,+0.7,+1.1,-2.2,+1.8
8,A. Davis | A. Rivers,NOP,543:56,+1.3,+3.1,-.001,-2.6,-9.2,+.038,-.018,+2.3,+1.1,+.043,+2.4,+1.5,+2.8,+0.3,+2.8,+1.3,+3.1,-0.5,+0.8,+0.3,-1.1,+0.3
9,A. Ajinça | A. Davis,NOP,504:05,-1.3,-1.7,-.006,-4.9,-12.0,-.036,-.033,-3.8,-6.3,+.035,-11.3,-1.1,-1.2,+1.2,-1.2,+0.1,+0.2,-1.5,-0.3,+2.3,+2.1,+2.7
10,A. Davis | J. Smith,NOP,411:47,+1.1,+5.9,-.019,-4.2,-10.0,-.002,-.046,+1.8,+1.4,+.033,-0.1,+1.5,+0.7,-3.2,+0.7,-0.7,-1.7,+1.1,+3.9,+0.3,-4.1,-0.3
